"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-03-09","0.00","31","21"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-03-10","0.00","27","3"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-03-11","0.00","16","2"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-03-12","0.00","20","6"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-03-13","0.11","28","12"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-03-14","0.00","29","12"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-03-15","0.00","32","11"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-03-16","0.00","30","11"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-03-17","0.00","40","20"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-03-18","0.00","42","28"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-03-19","0.00","40","28"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-03-20","0.00","52","29"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-03-21","0.00","53","26"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-03-22","0.00","33","18"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-03-23","0.00","38","19"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-03-24","0.18","38","35"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-03-25","0.00","42","35"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-03-26","0.12","40","34"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-03-27","0.00","41","34"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-03-28","0.00","56","31"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-03-29","0.00","61","32"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-03-30","0.04","48","37"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-03-31","0.00","46","30"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-04-01","0.00","54","30"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-04-02","0.00","63","34"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-04-03","0.00","53","43"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-04-04","0.05","49","42"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-04-05","0.00","59","36"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-04-06","0.00","52","33"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-04-07","0.00","52","29"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-04-08","0.00","58","32"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-04-09","0.00","69","47"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-04-10","0.21","70","42"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-04-11","0.38","43","29"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-04-12","0.00","50","30"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-04-13","0.21","54","42"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-04-14","0.00","52","43"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-04-15","0.50","62","46"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-04-16","0.38","70","45"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-04-17","0.00","62","42"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-04-18","0.00","56","42"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-04-19","0.24","62","42"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-04-20","0.85","50","38"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-04-21","0.00","48","35"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-04-22","0.00","60","39"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-04-23","0.00","67","44"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-04-24","0.00","66","45"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-04-25","0.00","70","51"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-04-26","0.86","59","34"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-04-27","0.00","38","30"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-04-28","0.00","35","30"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-04-29","0.00","48","34"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2017-04-30","0.00","53","37"
